pattern,meaning_jp,meaning_en,example_jp,example_en,structure,notes,level
〜と思う,〜とおもう じぶんの いけん,I think...,日本は高いと思います。,I think Japan is expensive.,Plain form + と思う,Express opinion,N4
〜つもり,〜する よてい,intend to...,日本へ行くつもりです。,I intend to go to Japan.,Verb dictionary + つもり,Strong intention,N4
〜予定,よてい が ある,plan to...,会議は3時に始まる予定です。,The meeting is scheduled for 3.,Verb dictionary + 予定,Formal plan,N4
〜かもしれない,たぶん 〜 だろう,maybe,明日は雨が降るかもしれません。,It might rain tomorrow.,Plain form + かもしれない,Uncertainty,N4
〜てしまう,かんりょう / ざんねん,finish/regret,宿題を忘れてしまいました。,I ended up forgetting homework.,Verbて + しまう,Completion or regret,N4
〜ながら,どうじに,while doing,音楽を聞きながら勉強します。,I study while listening to music.,Verb stem + ながら,Two actions same time,N4
〜前に,〜する まえ,before doing,寝る前に歯をみがきます。,I brush my teeth before bed.,Verb dictionary + 前に,Time order,N4
〜後で,〜した あと,after doing,映画を見た後で食事します。,I will eat after watching a movie.,Verbた + 後で,Sequence,N4
〜てから,それから,after doing,日本に来てから日本語を勉強しています。,I have studied Japanese since coming.,Verbて + から,Action order,N4
〜ことがある,けいけん が ある,have done before,寿司を食べたことがあります。,I have eaten sushi.,Verbた + ことがある,Experience,N4
〜なければならない,ひつよう が ある,must do,薬を飲まなければなりません。,I must take medicine.,Verb nai → なければならない,Obligation,N4
〜なくてもいい,ひつよう ない,don’t have to,今日は行かなくてもいいです。,I don’t have to go today.,Verb nai + なくてもいい,No obligation,N4
〜たら,もし 〜 なら,if/when,雨が降ったら行きません。,If it rains I won't go.,Verbた + ら,Conditional,N4
〜ても,〜の ばあい でも,even if,高くても買います。,Even if it's expensive I'll buy.,Verbて + も,Unexpected result,N4
〜ば,じょうけん,if,時間があれば行きます。,If I have time I'll go.,Verbば form,Formal conditional,N4
〜なら,その ばあい,if it is...,日本なら京都が好きです。,If it's Japan I like Kyoto.,Noun + なら,opinion,N4
〜てみる,ためしに する,try doing,日本語を話してみます。,I'll try speaking Japanese.,Verbて + みる,Trial action,N4
〜ておく,じゅんび,do in advance,予約しておきます。,I will reserve in advance.,Verbて + おく,Preparation,N4
〜てほしい,のぞみ,want someone to do,来てほしいです。,I want you to come.,Verbて + ほしい,Desire toward others,N4
〜やすい,かんたん,easy to,このペンは書きやすい。,This pen is easy to write with.,Verb stem + やすい,Ease,N4
〜にくい,むずかしい,difficult to,この漢字は覚えにくい。,This kanji is hard to remember.,Verb stem + にくい,Difficulty,N4
〜すぎる,おおすぎる,too much,食べすぎました。,I ate too much.,Verb stem + すぎる,Excess,N4
〜そうだ(ようす),みため で はんだん,looks like,雨が降りそうです。,Looks like rain.,Verb stem + そうだ,Appearance guess,N4
〜そうだ(でんぶん),きいた はなし,I heard that...,雨が降るそうです。,I heard it will rain.,Plain form + そうだ,Hearsay,N4
〜ようになる,へんか,come to be able to,日本語が話せるようになりました。,I became able to speak Japanese.,Verb dictionary + ようになる,Change of ability,N4
〜ようにする,こころがける,make effort to,毎日勉強するようにします。,I try to study daily.,Verb dictionary + ようにする,Habitual effort,N4
〜はず,よてい どおり,supposed to,彼は来るはずです。,He is supposed to come.,Plain form + はず,Expectation,N4
〜しか〜ない,それ だけ,only,100円しかありません。,I only have 100 yen.,しか + negative,Limitation,N4
〜だけ,それ だけ,only,水だけ飲みます。,I drink only water.,Noun + だけ,Limit,N4
〜ずつ,それぞれ,each,一人ずつ来てください。,Come one by one.,Noun + ずつ,Distribution,N4
〜間,あいだ,during,夏休みの間日本にいました。,I was in Japan during summer.,Noun + の間,Duration,N4
〜間に,あいだに,while,勉強している間に電話が来た。,A call came while studying.,Verbている + 間に,During interval,N4
〜ところ,ちょうど,just/about to,今行くところです。,I'm about to go.,Verb dictionary + ところ,Timing of action,N4
〜たり〜たりする,いくつか の こうどう,do things like,週末は映画を見たり買い物したりします。,On weekends I watch movies and shop.,Verbたり + する,Listing actions,N4
〜し,りゆう を ならべる,and/moreover,安いし便利です。,It's cheap and convenient.,Clause + し,Multiple reasons,N4
〜ために,りゆう,purpose,健康のために運動します。,I exercise for health.,Noun + のために,Purpose,N4
〜について,〜に かんして,about,日本文化について勉強しています。,I study about Japanese culture.,Noun + について,Topic explanation,N4
〜かどうか,〜か ちがう か,whether or not,行くかどうか分かりません。,I don't know whether I'll go.,Clause + かどうか,Uncertainty choice,N4
